Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
705000.0,2023,20000,Duz,Benzin,Beyaz
805000.0,2023,30000,Duz,Benzin,Gri
765000.0,2021,151745,Duz,Benzin,Beyaz
715000.0,2023,28000,Duz,Benzin,Gri
1175000.0,2023,39000,Yari Otomatik,Dizel,Kırmızı
679000.0,2021,98000,Duz,Dizel,Beyaz
650000.0,2020,166000,Duz,Benzin,Füme
845000.0,2023,30400,Duz,Dizel,Beyaz
835000.0,2022,18000,Duz,Benzin,Füme
510000.0,2017,245000,Duz,Dizel,Beyaz
739000.0,2024,43000,Duz,Benzin,Füme
628000.0,2020,160000,Duz,Dizel,Beyaz
815000.0,2024,32000,Duz,Benzin,Beyaz
720000.0,2020,184000,Otomatik,Dizel,Beyaz
845000.0,2022,16500,Duz,Dizel,Beyaz
829000.0,2023,51000,Duz,Benzin,Füme
745000.0,2020,170000,Otomatik,Dizel,Beyaz
1089000.0,2022,82000,Otomatik,Dizel,Beyaz
624500.0,2020,71490,Duz,LPG & Benzin,Gri
719000.0,2020,165000,Otomatik,Dizel,Beyaz
739500.0,2021,100500,Duz,Dizel,Beyaz
777900.0,2023,23000,Duz,Benzin,Beyaz
895000.0,2023,38000,Duz,Benzin,Turuncu
544900.0,2020,183000,Duz,Dizel,Beyaz
833000.0,2022,95500,Otomatik,Dizel,Füme
630000.0,2020,148000,Duz,Dizel,Beyaz
727000.0,2020,67000,Duz,Dizel,Beyaz
789000.0,2022,65000,Duz,Dizel,Beyaz
775000.0,2021,79000,Duz,Benzin,Gri
804000.0,2020,115000,Yari Otomatik,Dizel,Gri (Gümüş)
655000.0,2017,160000,Duz,Dizel,Beyaz
675000.0,2021,85000,Duz,Benzin,Beyaz
625000.0,2021,83129,Duz,Benzin,Beyaz
1285000.0,2024,12000,Otomatik,Dizel,Mavi
510000.0,2017,113000,Duz,Benzin,Beyaz
468000.0,2016,828060,Duz,Dizel,Beyaz
715000.0,2023,33000,Duz,Benzin,Beyaz
745000.0,2020,165000,Duz,Benzin,Kırmızı
910000.0,2023,14700,Duz,Benzin,Mavi
690000.0,2020,72202,Duz,Benzin,Lacivert
560000.0,2020,172000,Duz,Dizel,Beyaz
797500.0,2019,119000,Yari Otomatik,Dizel,Beyaz
777000.0,2019,153000,Yari Otomatik,Dizel,Beyaz
740000.0,2022,21000,Duz,Benzin,Mavi (metalik)
795000.0,2020,101900,Otomatik,Dizel,Beyaz
690000.0,2020,167000,Duz,Dizel,Beyaz
719500.0,2017,130000,Otomatik,Dizel,Beyaz
532500.0,2019,93500,Duz,LPG & Benzin,Beyaz
724500.0,2017,138000,Otomatik,Benzin,Beyaz
685000.0,2016,122000,Duz,Dizel,Beyaz
560000.0,2019,180000,Duz,LPG & Benzin,Beyaz
690000.0,2019,133000,Otomatik,Dizel,Beyaz
925000.0,2021,62000,Duz,LPG & Benzin,Turuncu
785000.0,2021,57000,Duz,Dizel,Beyaz
739900.0,2022,71875,Duz,Benzin,Beyaz
570000.0,2017,200000,Duz,Dizel,Beyaz
745000.0,2022,50000,Duz,Dizel,Beyaz
585000.0,2019,130000,Duz,Benzin,Beyaz
517500.0,2019,102500,Duz,Benzin,Beyaz
630000.0,2015,98000,Duz,LPG & Benzin,Beyaz
748950.0,2023,38000,Duz,Benzin,Mavi
785000.0,2020,206000,Otomatik,Dizel,Beyaz
790000.0,2019,109400,Yari Otomatik,Dizel,Beyaz
520000.0,2016,222000,Duz,Dizel,Beyaz
670000.0,2018,62000,Duz,Benzin,Beyaz
