Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
1279900,2022,77000,Otomatik,LPG & Benzin,Beyaz
945000,2020,108000,Otomatik,Benzin,Beyaz
1025000,2020,168000,Otomatik,LPG & Benzin,Beyaz
865000,2017,180000,Otomatik,Dizel,Beyaz
1175000,2020,77966,Otomatik,LPG & Benzin,Gri
1465000,2023,48596,Otomatik,Benzin,Gri
550000,2010,260000,Duz,Dizel,Gri (Gümüş)
669000,2015,395000,Otomatik,Benzin,Siyah
1299900,2023,23000,Otomatik,Benzin,Beyaz
1125000,2022,112000,Otomatik,Benzin,Beyaz
903000,2020,212000,Otomatik,Hibrit,Gri (Gümüş)
519000,2008,244000,Duz,Dizel,Gri
529000,2009,153000,Yari Otomatik,LPG & Benzin,Gri (Gümüş)
1195000,2022,35000,Otomatik,Benzin,Mavi
1215000,2020,76479,Otomatik,Benzin,Beyaz
789000,2016,94000,Duz,Benzin,Beyaz
1139750,2020,189000,Otomatik,Benzin,Beyaz
770000,2015,144000,Yari Otomatik,Dizel,Beyaz
1047000,2019,140000,Otomatik,LPG & Benzin,Beyaz
335000,1999,278000,Duz,Benzin,Mavi (metalik)
350000,2001,320000,Duz,LPG & Benzin,Beyaz
229750,1991,400000,Duz,LPG & Benzin,Kırmızı
1095000,2017,98345,Otomatik,LPG & Benzin,Beyaz
1245000,2023,30800,Otomatik,Benzin,Gri
569900,2009,155000,Otomatik,Dizel,Füme
240000,1994,400000,Duz,LPG & Benzin,Bordo
1305000,2023,30000,Otomatik,Benzin,Gri
333000,1999,350000,Duz,LPG & Benzin,Mavi
979000,2021,55000,Otomatik,Benzin,Beyaz
488000,2005,257000,Otomatik,LPG & Benzin,Beyaz
687500,2015,195000,Duz,LPG & Benzin,Füme
1245000,2020,88900,Otomatik,Hibrit,Gri (titanyum)
924000,2018,95000,Duz,LPG & Benzin,Beyaz
894000,2016,123000,Otomatik,Dizel,Beyaz
979000,2016,93417,Duz,LPG & Benzin,Gri
1182000,2022,40000,Otomatik,Benzin,Mavi
1037000,2014,63000,Otomatik,Benzin,Beyaz
720000,2016,169000,Duz,Benzin,Beyaz
775000,2015,105000,Duz,Benzin,Beyaz
929900,2013,95000,Duz,LPG & Benzin,Beyaz
479000,2008,270000,Duz,Dizel,Gri
669000,2009,234000,Otomatik,Dizel,Gri
321000,1999,303000,Otomatik,LPG & Benzin,Gri
608000,2011,239600,Duz,Dizel,Füme
595000,2005,244000,Duz,LPG & Benzin,Gri (Gümüş)
439000,2012,337000,Duz,Dizel,Gri (metalik)
220000,1994,365000,Duz,LPG & Benzin,Mavi
782500,2014,170000,Duz,LPG & Benzin,Beyaz
585000,2010,359000,Otomatik,LPG & Benzin,Diğer
695000,2011,172000,Duz,LPG & Benzin,Siyah
664900,2014,253656,Otomatik,Dizel,Beyaz
320000,1997,328000,Duz,LPG & Benzin,Yeşil
349999,1999,282999,Duz,LPG & Benzin,Gri (Gümüş)
620000,2012,275000,Duz,Dizel,Siyah
498000,2005,195000,Duz,LPG & Benzin,Füme
1815000,2022,64600,Otomatik,Hibrit,Gri (Gümüş)
329750,1999,350000,Duz,LPG & Benzin,Gri
605000,2006,212393,Duz,LPG & Benzin,Gri (Gümüş)
1075000,2020,175000,Otomatik,Hibrit,Gri (titanyum)
485000,2005,298000,Duz,LPG & Benzin,Gri
970000,2018,72000,Duz,LPG & Benzin,Gri (metalik)
765000,2012,130000,Duz,LPG & Benzin,Beyaz
320000,1998,218000,Duz,LPG & Benzin,Turkuaz
405000,2007,267000,Duz,Dizel,Gri
349000,1997,295000,Duz,LPG & Benzin,Yeşil
335000,1996,360000,Duz,LPG & Benzin,Mavi
590000,2010,244154,Duz,Dizel,Gri (Gümüş)
745000,2018,41475,Duz,Benzin,Gri
810000,2013,188000,Duz,LPG & Benzin,Beyaz
579000,2006,92000,Duz,Benzin,Bordo
1010000,2020,194000,Otomatik,LPG & Benzin,Beyaz
1010000,2021,79000,Otomatik,LPG & Benzin,Beyaz
1420000,2020,61000,Otomatik,LPG & Benzin,Mavi
335000,1996,292000,Duz,LPG & Benzin,Şampanya
1238000,2020,89000,Otomatik,LPG & Benzin,Gri
963333,2016,110000,Duz,Dizel,Beyaz
1299900,2022,95307,Otomatik,Benzin,Gri
385000,2010,332000,Otomatik,LPG & Benzin,Siyah
1420000,2022,28436,Otomatik,Benzin,Gri
335000,1998,236000,Duz,LPG & Benzin,Kırmızı
275000,1996,350000,Duz,LPG & Benzin,Mavi
650000,2008,240000,Yari Otomatik,LPG & Benzin,Gri
340000,1995,274000,Duz,LPG & Benzin,Bordo
400000,1999,330000,Otomatik,LPG & Benzin,Yeşil
665000,2011,244000,Duz,Dizel,Gri (Gümüş)
495000,2007,182000,Duz,Benzin,Gri (Gümüş)
